PLAYER_NAME,TEAM_ABBREVIATION,AGE,RA_FGM,RA_FGA,PAINT_FGM,PAINT_FGA,MID_FGM,MID_FGA,LC3_FGM,LC3_FGA,RC3_FGM,RC3_FGA,ATB3_FGM,ATB3_FGA,FGM,FGA
Thaddeus Young,PHX,36,45,68,17,30,2,3,1,4,0,0,0,3,65,108
Theo Maledon,PHX,23,8,19,7,17,0,4,1,4,1,4,3,20,20,68
Thomas Bryant,MIA,26,61,81,17,33,4,13,1,2,1,5,2,15,86,149
Tim Hardaway Jr.,DAL,32,75,112,35,93,71,174,25,73,36,82,150,439,392,973
Tobias Harris,PHI,31,199,306,117,255,56,132,8,35,20,35,63,188,463,951
Torrey Craig,CHI,33,36,61,9,28,3,9,16,41,9,31,35,81,108,251
Tosan Evbuomwan,DET,23,18,29,6,10,0,0,7,15,4,10,1,7,36,71
Toumani Camara,POR,24,118,192,18,63,3,11,14,40,13,39,31,93,197,438
Trae Young,ATL,25,84,149,119,265,55,125,5,12,7,15,163,437,433,1003
Trayce Jackson-Davis,GSW,24,205,269,26,60,2,2,0,0,0,0,0,1,233,332
Tre Jones,SAS,24,161,231,65,145,14,34,13,37,16,41,34,110,303,598
Tre Mann,CHA,23,59,93,32,65,7,32,6,15,7,12,34,99,145,316
Trendon Watford,BKN,23,83,121,48,107,6,15,5,13,2,11,20,44,164,311
Trent Forrest,ATL,26,14,26,16,51,2,3,1,4,0,1,1,5,34,90
Trey Jemison III,MEM,24,55,87,18,38,2,11,0,0,0,0,0,0,75,136
Trey Lyles,SAC,28,49,71,8,19,2,12,18,47,14,38,52,131,143,318
Trey Murphy III,NOP,24,74,96,27,62,5,18,21,47,16,48,132,349,275,620
Tristan Thompson,CLE,33,56,85,17,32,0,1,0,0,0,0,0,0,73,118
Tristan Vukcevic,WAS,21,13,19,5,8,1,4,0,1,0,2,10,33,29,67
Troy Brown Jr.,DET,24,20,40,6,22,11,23,7,25,7,24,33,90,84,224
Tyler Herro,MIA,24,44,85,97,187,51,130,2,10,17,32,113,290,324,734
Tyrese Haliburton,IND,24,140,205,84,160,81,148,4,14,11,33,180,484,500,1044
Tyrese Maxey,PHI,23,249,392,125,310,52,148,13,24,12,21,187,521,638,1416
Tyus Jones,WAS,28,66,103,115,225,39,82,18,43,12,22,76,191,326,666
Vasilije Micic,CHA,30,75,116,16,54,25,46,2,11,0,3,41,140,159,370
Victor Wembanyama,SAS,20,277,396,82,206,64,190,7,11,5,11,116,371,551,1185
Vince Williams Jr.,MEM,23,68,104,19,51,3,15,17,43,9,32,53,134,169,379
Vít Krejčí,ATL,24,14,19,7,14,2,3,4,13,3,6,21,49,51,104
Walker Kessler,UTA,22,208,282,17,46,0,3,2,12,2,7,0,0,229,350
Wendell Carter Jr.,ORL,25,120,168,31,70,8,16,11,35,13,37,40,99,223,425
Wesley Matthews,ATL,37,5,13,4,9,1,6,7,12,5,17,12,40,34,97
Xavier Tillman,BOS,25,67,113,32,78,2,7,5,31,5,20,10,30,121,279
Yuta Watanabe,MEM,29,9,13,5,11,2,7,5,19,5,18,15,48,41,116
Zach Collins,SAS,26,138,205,83,178,19,52,4,13,2,6,52,162,298,616
Zach LaVine,CHI,29,69,115,12,29,30,63,9,17,5,14,45,138,170,376
Zavier Simpson,DET,27,6,14,3,16,3,7,0,1,0,1,5,15,17,54
Zeke Nnaji,DEN,23,58,106,5,15,0,5,0,3,2,6,4,14,69,149
Ziaire Williams,MEM,22,66,99,11,46,15,44,10,36,17,41,31,110,150,376
Zion Williamson,NOP,23,486,721,129,338,3,17,1,1,1,1,4,16,624,1094
